vegan-sushi,"Have all of your ingredients ready when you start to assemble your sushi. Place a sushi mat or parchment paper in front of you. Place one sheet of nori on the sushi mat. Spread about 1 cup of the rice mixture across the bottom third of the nori. Pat it down with a (wet) spatula so it holds together. Now add strips of tofu, avocado, sweet potato fries, and kale along the length of rice. See the photo series up above if this is confusing."
vegan-sushi,"Working from the bottom, use your sushi mat or parchment paper to start gently (but confidently!) guiding and shaping everything tightly into a roll. Use your extra fingers to keep ingredients in place and to pull the roll in toward the sushi mat. The goal is shaping and keeping things tight. Keep guiding and rolling. Once the rice and fillings have been encircled by the nori, compress and pull things tight one more time. I basically run my hands along the length of the roll making sure nothing is loose."
vegan-sushi,"Continue rolling to the end of the nori at this point, guiding the sushi mat or parchment paper out of the way as you go. Use your sharpest knife to cut the rolls into pieces. Keep the knife damp with water, and clean as you go if necessary."
vegan-sushi,Serve with soy sauce spiked with wasabi paste whisked in. I love the all-natural wasabi paste from Japan at Toiro Kitchen and will link up above.
Recipe                   ,Instruction
shredded-brussels-sprouts,Soak the apples in a bowl filled with water and the juice of one lemon.
shredded-brussels-sprouts,"Cook the tofu in large hot skillet with a bit of salt and a splash of oil. Saute until golden, about 4 minutes. Stir in the garlic, wait a few seconds, now stir in the maple syrup, and cook another 30 seconds or so. Drain the apples, and add them to the skillet, cooking for another minute. Scrape the apple and tofu mixture out onto a plate and set aside while you cook the Brussels sprouts."
shredded-brussels-sprouts,"In the same pan (no need to wash), add a touch more oil, another pinch of salt, and dial the heat up to medium-high. When the pan is nice and hot stir in the shredded Brussels sprouts. Cook for 2 - 3 minutes, stirring a couple times (but not too often) until you get some golden bits, and the rest of the sprouts are bright and delicious."
shredded-brussels-sprouts,"Stir the apple mixture back into the skillet alongside the Brussels sprouts 1/2 of the pine nuts - gently stir to combine. Remove from heat and enjoy immediately sprinkled with the remaining pine nuts. This isn't a dish you want sitting around, the flavors change dramatically after ten minutes or so, and I think that is part of the reason Brussels sprouts get a bad rap. Even I don't like them after they've been sitting around."
Recipe       ,Instruction
vegan-recipes,"Whisk the tahini, garlic, lemon, and water together in a small bowl. Keep whisking until the mixture really thickens. Set aside."
vegan-recipes,"Bring a medium saucepan of water to a boil, salt well, and cook the broccoli until it brightens and becomes a bit tender, just a minute or two. Drain."
vegan-recipes,"In a large bowl gently toss the broccoli, chives, pinenuts, and arugula with the olive oil. Season with salt, to taste. Slather the tahini mixture across a large platter, and serve the chickpea and broccoli mixture spread out on top of it."
Recipe                     ,Instruction
rice-noodle-stir-fry-recipe,In a medium saucepan boil the rice noodles in a good amount of unsalted water until tender. Drain and toss with a teaspoon or so of oil. Combine the serrano pepper slices and vinegar in a small bowl. Set both of these aside.
rice-noodle-stir-fry-recipe,Drizzle one tablespoon of the soy sauce over the tofu and toss well.
rice-noodle-stir-fry-recipe,"Combine the chile oil, remaining 1 tablespoon of soy sauce, and 4 tablespoons of water in a glass."
rice-noodle-stir-fry-recipe,"Have a skillet or wok lid ready and all your ingredients prepped before you dive into the next steps. In a large skillet or wok heat the oil over high heat. Add the onion and mushrooms (if using) and cook until they both take on a bit of color - 3 minutes or so. Stir in the tofu and cook for another minute. Add the chile-soy water and the broccoli, stir briefly, and then quickly cover. Cook, uncovering to stir once or twice, until the broccoli brightens and starts to get a bit tender, a couple minutes. "
rice-noodle-stir-fry-recipe,"Uncover, stir in the noodles (if they’re sticking a bit, just gently coax them apart). And if the pan seems a bit dry, add another tablespoon or two of water."
rice-noodle-stir-fry-recipe,Stir in the cashews and add a bit of lemon zest or slivered lime leaf if you have it. Serve asap topped with a few chiles and drizzle of vinegar.
Recipe       ,Instruction
refried-beans,"Drain and rinse your beans and transfer them to a large pot. Cover the beans with water by 2 inches and bring to a simmer over medium-high heat. Simmer until the beans are completely tender, remove from heat, and season with 1/2 teaspoon of salt. Stir and taste the broth, it should taste really good if seasoned properly. Add a bit more salt if needed. You can move on to the reefing step at this point, or allow the beans and broth to cool, then refrigerate for up to a couple of days until you’re ready. I like to separate the beans from the broth at this point. Be sure to keep the broth."
refried-beans,"When you’re ready, mash the beans. You can use a potato or bean masher if you have one. Or a pestle, or big fork. Really go for it. You want some pasty action, and some chunky parts. This way your refried beans will have good texture. But if you like super smooth refried beans, hit them with a hand blender."
refried-beans,"Add the olive oil and onions to a large skillet or pot over medium-high heat. Cook for five minutes or so, until the onions soften, but avoid browning. Add the beans to the pan along with about 1 1/2 cups of bean broth. Bring to a simmer and cook for 10-15 minutes. Add more broth 1/4 cup at a time to achieve the consistency you like. Some like their beans stiff, others like them more soupy. Stir in the paprika, cook for another couple of minutes, and stir in the lemon juice. Taste and add more salt if needed at this point, I usually end up adding ~1/4 teaspoon more."
refried-beans,Serve the beans on their own or topped with a bit of crumbled cheese and chopped cilantro.
Recipe         ,Instruction
pad-thai-recipe,"Fill a large bowl with boiling water, stir in the turmeric, and the noodles. Use a fork to swish them around a bit, and soak until the noodles are pliable and bendy - 5 to 10 minutes. Drain and set aside."
pad-thai-recipe,"In the meantime, whisk together the vinegar, sugar, and soy sauce in a small bowl."
pad-thai-recipe,"Just before you're ready to eat, heat the oil in a wok or large skillet over high heat. Stir in the broccoli, cover, and allow to cook for a few minutes, until the broccolini is bright green, but still al dente. Remove it from the pan, and set aside. Next, add the tofu to the pan, and cook until it begins to brown, a couple of minutes. Add the noodles, and the sauce, and stir constantly until the noodles absorb the sauce - a minute or so."
pad-thai-recipe,"Push the noodles to the side, add the egg, whisk and break it up with the spatula, and allow it to set a bit, 10 or 20 seconds. Break it up, and toss the egg with the noodles. Add the bean sprouts, peanuts, and scallions. Transfer to a large platter and serve topped with the broccolini, and lime wedges."
Recipe                           ,Instruction
pasta-with-creamy-crushed-walnuts,"While you’re bringing a large pot of water to a boil, crush the walnuts and garlic together in a mortar and pestle. Alternately, you can pulse with a hand blender, but leave a bit of texture & chunkiness."
pasta-with-creamy-crushed-walnuts,"Cook the pasta per package instructions in salted water. Once the pasta is in the pot, and the pasta water is nice and starchy, reserve 2 cups of the pasta water. Whisk a cup of the pasta water into the walnut mixture, adding more until your sauce is thick as heavy cream. You’ll likely need about 1 3/4 cups, maybe a splash more. Stir in half the cheese, a couple tablespoons of lemon juice, and more freshly ground black pepper than you think you’d want. Taste and add a bit more salt to the sauce if needed. If it’s all in balance, this should taste Awesome. Capital A awesome."
pasta-with-creamy-crushed-walnuts,"Transfer the cooked pasta to a large bowl and toss with the walnut sauce. Sprinkle with lemon zest and top with some fresh herbs if you have them (thyme is nice here), breadcrumbs, and a drizzle of chili oil."
Recipe             ,Instruction
falafel-bowl-recipe,"Preheat the oven to 450°F. Place a large skillet or pot over high heat. When hot, add the spinach, in batches if necessary. Stir until collapsed and most of the moisture has evaporated. Transfer to a cutting board, and chop well. The more chopped, the better."
falafel-bowl-recipe,"Combine the eggs, garlic, chickpeas, breadcrumbs, cheese, baking powder, and salt in a blender. Blend until combined. Transfer to a large bowl, add the lemon zest and chopped spinach, and stir until uniform."
falafel-bowl-recipe,"With your hands, form the mixture into small, 1 1/2-inch balls. You should end up with 20-30-ish balls. Place on a baking sheet, smush them down a bit, and put in the oven for 20 minutes or so, until very golden, flipping once along the way. If you don't bake all of them, freeze the remaining. Alternately, you can cook the falafel in a skillet with a splash of olive oil."
falafel-bowl-recipe,"Serve the falafel with a sauce, or dipping sauce, or with additional components (listed in ingredients list) as part of a falafel bowl. Enjoy!"
Recipe             ,Instruction
farro-and-bean-soup,"If you want a creamier broth for your soup mash 3/4 cup of the beans. I find it’s easiest to just do it with my hands, and set all the beans aside."
farro-and-bean-soup,"In your largest soup pot over medium-high heat combine the olive oil, onions, celery, and salt. Sauté until the onions start to brown a bit, 7 - 10 minutes. Stir in the tomatoes and cook for another minute or two. Add the carrot, potatoes, farro and nine cups of water. Bring to a boil and then dial back to a simmer.  Cook, stirring occasionally, until the farro is cooked through, 20 - 30 minutes. Be sure the vegetables are tender through as well. If you need to stir in more water or broth do so 1/2 cup at a time until the stew is the consistency you like. Taste and add a bit more salt if needed."
farro-and-bean-soup,"Stir in the beans, bring back up to a simmer, and then stir in the kale or cabbage. Cook another few minutes until it collapses. Serve in bowls topped with plenty of freshly grated Parmesan and a generous drizzle of good olive oil (or alternately harissa oil/feta), or any of the suggested toppings."
farro-and-bean-soup,"When you go to reheat leftovers you may need to add water to thin the stew out, and then readjust the seasoning."
Recipe                  ,Instruction
great-vegan-ramen-recipe,"Toss whatever raw vegetables you're using with the Spicy Turmeric Oil, and divide them between bowls. Cook the noodles according to package, and divide into four bowls. Gently heat the cashew milk (if serving hot), just until very hot (not simmering). Stir some of the milk into the 3 tablespoons of Miso Tare to thin it out, and then add it back to the cashew milk. Taste, and add more Miso Tare if needed. The broth should taste great at this point! "
great-vegan-ramen-recipe,"Pour one cup of broth over each plate of noodles. Top with any extra toppings, nuts, or vegetables you might be using."
great-vegan-ramen-recipe,"Combine the miso, chile flakes, scallions, ginger, garlic, mirin, and spice paste in a small saucepan over gentle heat. You just want to warm this for a few minutes, to get the ginger, garlic, and scallions to sweat a bit."
great-vegan-ramen-recipe,"Combine the ginger, turmeric, seeds, red pepper flakes, and paprika with the sesame and sunflower oil in a small saucepan over very gentle heat. Bring barely to a simmer. Stir constantly for a minute, remove from heat and add the sake, brown sugar, and miso. Return to heat, and allow the flavors to combine, stirring constantly for another thirty seconds or so."
Recipe                   ,Instruction
pasta-with-etruscan-sauce,Bring a large pot of water to a boil over medium-high heat.
pasta-with-etruscan-sauce,"  In the meantime, prepare the Etruscan sauce. Place the olives, sun-dried tomatoes, cheese, parsley, egg, olive oil, garlic, red pepper flakes, and salt into a food processor and blend well, but not too much. You still want a bit of texture. Set aside."
pasta-with-etruscan-sauce,"Salt the boiling water, and stir in the pasta. Cook until al dente, and reserve 1 1/2 cups of the pasta water for later. Stir in the broccoli if using, one minute before draining. After draining, return the pasta and broccoli to the pot, over medium heat, along with about 1 cup of the reserved pasta water. Stir in half of the Etruscan sauce and toss until everything is well coated, adding more sauce to your liking (taste as you go). Serve sprinkled with crushed kale chips (if you like), or dusted with more Pecorino."
Recipe                   ,Instruction
sesame-seeded-tofu-recipe,"Pat the tofu dry, and slice into 1/2-inch by 1-inch batons. Gently toss the tofu with the soy sauce, and allow to sit for a couple of minutes. Pour the seeds onto a plate. Pick up a tofu baton, dip one side into the seeds, and transfer to a another plate. Repeat with all the tofu batons."
sesame-seeded-tofu-recipe,"This is one of the few cases where I prefer to use a non-stick pan. Alternately, a very well-seasoned cast iron pan will work. Heat the oil over medium-high heat, and arrange the tofu, seeded side down, in the pan. Cook until golden on the bottoms, 4-5 minutes. Brown the remaining sides, and remove from skillet. Serve as is, or as pictured (over flash-boiled green beans), to top off a rice bowl, or over whatever roasted vegetables you might have going!"
Recipe                        ,Instruction
last-minute-red-lasagna-recipe,Preheat the oven to 400F with a rack in top third.
last-minute-red-lasagna-recipe,"To assemble the lasagna combine the tomatoes, olive oil, salt, garlic, and red pepper flakes in a bowl and give a good stir. "
last-minute-red-lasagna-recipe,"Spoon 3/4 cup of the sauce into the bottom of a 8 x 12-inch (or larger) oven-proof baking dish. Sprinkle generously with lemon zest, and cover with a layer of pasta, giving the pasta strips a quick dunk in cold water before using - (please see note below if using no-boil noodles*). "
last-minute-red-lasagna-recipe,"Spoon another thin layer of tomato sauce, sprinkle with a few tablespoons of the lentils, the olives (if using), and cover with another layer of pasta. Repeat with more layers ending with a generous amount of tomato sauce on top. Finish with the mozzarella cheese on top (or see headnotes for vegan version). "
last-minute-red-lasagna-recipe,"Bake for thirty minutes, or until the cheese gets nicely golden."
Recipe                          ,Instruction
instant-pot-rice-porridge-recipe,"Combine the rices (and any bonus grains), water, and salt, in the Instant Pot or multi cooker. Secure the lid, set the pressure release valve to SEALING. Press MANUAL and set for 30 minutes at high pressure. Let the pressure NATURAL RELEASE (30-40 minutes). Gently shake or tap the pressure cooker, and then carefully open away from you. If you like the consistency a bit thinner, add more hot water or broth. Stir in the spinach and green powder (if using)"
instant-pot-rice-porridge-recipe,"Serve the congee topped with whatever toppings you like, I have the ones pictured here listed in the ingredients list. Use as few or many as you like!"
Recipe                      ,Instruction
ultimate-vegan-nachos-recipe,"Preheat oven to 350F, arrange the chips on an oven-proof baking sheet or platter. Top with the beans and dollops of the cheese (you'll have leftover). Bake for ten minutes or so, until the beans and cheese are heated through. In the meantime, in a small bowl, smash the avocado with a fork and a pinch of salt. When warm, remove the chips from the oven, top with the avocado, and any other toppings you like."
ultimate-vegan-nachos-recipe,"In a medium saucepan over medium-high heat combine the olive oil, onion, garlic, and salt. Cook, stirring regularly, until the onions soften, 3-5 minutes. Add the paprika, garlic powder, and chipotle, and cook for another minute. Stir in the sweet potatoes, cashews, and water, and bring to a simmer. Cook for 5 minutes or so, until the sweet potatoes are tender."
ultimate-vegan-nachos-recipe,"Transfer the mixture to a high-speed blender, add the lemon juice, and blend until completely smooth, 2-3 minutes. Add water a splash at a time to thin consistency if needed. Taste, and adjust seasoning if needed."
Recipe           ,Instruction
sushi-bowl-recipe,Toast the nori in a preheated 300F degree oven or a medium-hot skillet for a few minutes. Crumble or chop coarsely.
sushi-bowl-recipe,"Drain the tofu and pat it dry. Cut the block of tofu lengthwise through the middle to make four 1/4-to 1/2-inch thick sheets of tofu. Two at a time, cook in a dry skillet or well-seasoned skillet over medium-high for a few minutes until browned on one side. Flip gently, then continue cooking for another minute or so, until the tofu is firm, golden, and bouncy. Let cool, enough to handle, then cute crosswise into matchsticks (see photo). Repeat with the remaining sheets."
sushi-bowl-recipe,"To make the dressing, set the sheets aside. Combine the orange juice lemon juice, and sugar in a small saucepan and bring to a gentle boil. Cook for 1 or 2 minute, the add the shoyu and vinegar. Return to a gentle boil and cook another 1 or 2 minutes, until slightly thickened. Remove from the heat and stir in the zests."
sushi-bowl-recipe,"Stir in 1/3 cup of the dressing into the rice and add more to taste. Scoop the rice into individual bowls and top with the toasted nori, green onions, tofu, avocado slices, and a sprinkling of sesame seeds."
Recipe            ,Instruction
chickpea-rice-soup,"To make the garlic chile oil (you can make this up to a week in advance): Combine the oil, garlic, and shallots in a small saucepan over medium heat. Cook, stirring often, until the garlic gets golden brown (but not too dark), remove from heat, wait a few minutes for it to cool a bit, and transfer to a heatproof jar. Stir in the the chile flakes and peanuts, and set aside."
chickpea-rice-soup,"In a large soup pot, heat the olive oil over medium. Stir in the onions. Cook, stirring often, until the onions caramelize - 10 minutes or so. Stir in the rice, and then 9 cups of water or your favorite broth. Bring to a boil, and then dial back the heat to a simmer. Cook for 20 minutes or so, until the rice is just cooked through."
chickpea-rice-soup,"Stir in the chickpeas and kale and cook until heated through. If you want a thinner broth, add another cup of hot water. Now, getting the salt right here is key. If you used a salty broth, you’ll need a lot less than if you used water. If you under salt this it’s going to be bland, so take your time. Season with lots of fresh lemon juice. Served topped generously with the garlic-chili oil, and a little pinch of turmeric if you have some on hand."
Recipe           ,Instruction
vegetarian-paella,"Preheat oven to 300°F. Heat the olive oil in a large (11 1/2-inch skillet) over medium heat- if you don't have a skillet that large, use a 9 1/2-inch skillet and cut the recipe in half. Sauce the carrots, scallions (or spring onions), until translucent. Stir in the garlic, and let it cook a little longer. Add the rice, stir well, and cook until the grains are also translucent, a few minutes - be mindful to not allow the rice to burn. Stir in the sofrito. Add the paprika. Crush the saffron with your fingers, and add that as well."
vegetarian-paella,"Stir in the vegetables, pour the hot stock over all of it, stir, and bring to a moderate simmer. No more stirring allowed. Simmer for exactly 17 minutes. Set a timer. Taste the stock and re-season if necessary."
vegetarian-paella,"Move the paella to the oven and bake for another 12 minutes. Remove, and if you want to try to get a bit more crust on the base of your paella, and you’re confident your paella won’t burn, return the paella to a burner for another minute or so. Remove from heat and allow it to rest for another few minutes. Top with anything else you like - olives, nuts, lemons, herbs, etc. Serve family style in the pan."
Recipe               ,Instruction
best-pizza-dough-ever,"Stir together the flour, salt, and instant yeast in a 4-quart bowl (or in the bowl of an electric mixer). With a large metal spoon, stir in the oil and the cold water until the flour is all absorbed (or mix on low speed with the paddle attachment), If you are mixing by hand, repeatedly dip one of your hands or the metal spoon into cold water and use it, much like a dough hook, to work the dough vigorously into a smooth mass while rotating the bowl in a circular motion with the other hand. Reverse the circular motion a few times to develop the gluten further. Do this for 5 to 7 minutes, or until the dough is smooth and the ingredients are evenly distributed. If you are using an electric mixer, switch to the dough hook and mix on medium speed for 5 to 7 minutes, or as long as it takes to create a smooth, sticky dough. The dough should clear the sides of the bowl but stick to the bottom of the bowl. If the dough is too wet and doesn't come off the sides of the bowl, sprinkle in some more flour just until it clears the sides. If it clears the bottom of the bowl, dribble in a teaspoon or two of cold water. The finished dough will be springy, elastic, and sticky, not just tacky, and register 50 to 55F."
best-pizza-dough-ever,"Sprinkle flour on the counter and transfer the dough to the counter. Prepare a sheet pan by lining it with baking parchment and misting the parchment with spray oil (or lightly oil the parchment). Using a metal dough scraper, cut the dough into 6 equal pieces (or larger if you are comfortable shaping large pizzas), You can dip the scraper into the water between cuts to keep the dough from sticking to it, Sprinkle flour over the dough. Make sure your hands are dry and then flour them. Lift each piece and gently round it into a ball. If the dough sticks to your hands, dip your hands into the flour again. Transfer the dough balls to the sheet pan, Mist the dough generously with spray oil and slip the pan into a food-grade plastic bag."
best-pizza-dough-ever,"Put the pan into the refrigerator overnight to rest the dough, or keep for up to 3 days. (Note: If you want to save some of the dough for future baking, you can store the dough balls in a zippered freezer bag. Dip each dough ball into a bowl that has a few tablespoons of oil in it, rolling the dough in the oil, and then put each ball into a separate bag. You can place the bags into the freezer for up to 3 months. Transfer them to the refrigerator the day before you plan to make pizza.)"
best-pizza-dough-ever,"On the day you plan to make the pizza, remove the desired number of dough balls from the refrigerator 2 hours before making the pizza. Before letting the dough rest at room temperature for 2 hours, dust the counter with flour, and then mist the counter with spray oil. Place the dough balls on top of the floured counter and sprinkle them with flour; dust your hands with flour. Gently press the dough into flat disks about 1/2 inch thick and 5 inches in diameter. Sprinkle the dough with flour, mist it again with spray oil, and cover the dough loosely with plastic wrap or a food-grade plastic bag. Now let rest for 2 hours."
best-pizza-dough-ever,"At least 45 minutes before making the pizza, place a baking stone either on the floor of the oven (for gas ovens), or on a rack in the lower third of the oven. Heat the oven as hot as possible, up to 800F (most home ovens will go only to 500 to 550F, but some will go higher). If you do not have a baking stone, you can use the back of a sheet pan, but do not preheat the pan."
best-pizza-dough-ever,"Generously dust a peel or the back of a sheet pan with semolina flour or cornmeal. Make the pizzas one at a time. Dip your hands, including the backs of your hands and knuckles, in flour and lift I piece of dough by getting under it with a pastry scraper. Very gently lay the dough across your fists and carefully stretch it by bouncing the dough in a circular motion on your hands, carefully giving it a little stretch with each bounce. If it begins to stick to your hands, lay it down on the floured counter and reflour your hands, then continue shaping it. If you have trouble tossing the dough, or if the dough keeps springing back, let it rest for 5 to 20 minutes so the gluten can relax, and try again. You can also resort to using a rolling pin, though this isn't as effective."
best-pizza-dough-ever,"When the dough is stretched out to your satisfaction (about 9 to 12 inches in diameter for a 6-ounce piece of dough), lay it on the peel or pan, making sure there is enough semolina flour or cornmeal to allow it to slide. Lightly top it with sauce and then with your other toppings, remembering that the best pizzas are topped with a less-is-more philosophy. The American ""kitchen sink"" approach is counterproductive, as it makes the crust more difficult to bake. A few, usually no more than 3 or 4 toppings, including sauce and cheese is sufficient."
best-pizza-dough-ever,"Slide the topped pizza onto the stone (or bake directly on the sheet pan) and close the door. Wait 2 minutes, then take a peek. If it needs to be rotated 180 degrees for even baking, do so. The pizza should take about 5 to 8 minutes to bake. If the top gets done before the bottom, you will need to move the stone to a lower self before the next round. if the bottom crisps before the cheese caramelizes, then you will need to raise the stone for subsequent bakes."
best-pizza-dough-ever,"Remove the pizza from the oven and transfer to a cutting board. Wait 3 to 5 minutes before slicing and serving, to allow the cheese to set slightly."
Recipe                     ,Instruction
rainbow-noodle-salad-recipe,"Combine the garlic, sunflower oil, toasted sesame oil, and lime juice in a jar. Add your preferred sweetener to taste, a bit at a time, and then add the sriracha until it reaches the desired amount of spicy. Set aside."
rainbow-noodle-salad-recipe,"Rub the tofu with a bit of toasted sesame oil and sprinkle with a bit of salt and either grill or bake at 350F until nice and golden, ten minutes or so. Set aside. You can do this ahead of time a day ahead if you like."
rainbow-noodle-salad-recipe,"Cook the noodles in a medium saucepan of salted water. Drain, run under cold water, shaking off any excess, and transfer to a large serving bowl. "
rainbow-noodle-salad-recipe,"Toss the noodles with the toasted sesame oil and then add the scallions, cilantro, basil, cabbage, pineapple, and most of the coconut and peanuts. Pour about 2/3 of the dressing over the top, and give it all a nice toss. Add the tofu, sushi ginger, carrots, and avocado, decide if you need anymore dressing (and, if so, add it), and gently toss again. Adding the carrots at this point keeps them from tinting the rest of the salad orange. Serve topped with the remaining peanuts and coconut, with a generous sprinkling of hemp seeds."
Recipe               ,Instruction
california-panzanella,"Heat the oven to 375F. Cut the bread into 1-inch cubes, and toss with the olive oil and a generous sprinkling of salt. Bake until golden and crunchy, ten minutes or so."
california-panzanella,"Brush the tofu with a bit of extra virgin olive oil, place it on a sheet pan and bake, flipping once, until golden on both sides. Seven minutes, or so, on each side. Remove from the oven, cut into ½-inch pieces, and place in a large bowl."
california-panzanella,"In the meantime, make the peanut dressing by combining the peanut butter, vinegar, garlic, sesame oil, red pepper flakes, and ¼ teaspoon salt into a medium bowl. Thin with the hot water. I like the dressing to be the consistency of thin, melted ice cream. Taste and adjust with more salt, or pepper flakes, if needed."
california-panzanella,"Just before serving, pour a generous amount of the dressing over the tofu, and toss it gently, but well. It should look quite overdressed at this point. Add the bread and gently toss again. Turn out onto a platter and top with the sprouts and then the tomatoes. Serve at room temperature."
Recipe                  ,Instruction
green-lentil-soup-recipe,"Combine the 2 tablespoons butter, onion, garlic, and red pepper flakes in a large soup pot over medium heat, stirring regularly, until the onions soften, a couple minutes. Add the vegetable broth and lentils and simmer, covered, until the lentils are tender. This usually takes 20 to 30 minutes, but can take as long as 50 minutes."
green-lentil-soup-recipe,"In the meantime, warm the 3 tablespoons butter in a small saucepan over medium heat and let it brown. When it starts to smell nutty and fragrant, stir in the curry powder and sauté until the spices are fragrant, less than a minute.  When the lentils are finished cooking, remove from the heat, stir in the coconut milk and 1/4 teaspoon salt, and puree with an immersion blender. You can leave the soup a bit chunky if you like, or puree until it is perfectly smooth."
green-lentil-soup-recipe,"Stir in half of the spiced butter, taste, and add more salt, if needed, typically a couple of teaspoons if you used water instead of a salted broth. Serve drizzled with the remaining spice butter and sprinkled with chives, (and paneer cubes if you're using them)."
Recipe              ,Instruction
shepherds-pie-recipe,Preheat oven to 375F with a rack in the center.
shepherds-pie-recipe,"Place the potatoes/sweet potatoes in a medium saucepan, cover with water, salt as you would pasta water, and bring to a boil for about ten minutes, or until tender. Drain, and return to saucepan over heat for a minute or so to dry out a bit. Add the coconut milk, and the salt, and mash together. Set aside."
shepherds-pie-recipe,"In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. Sauté for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed."
shepherds-pie-recipe,"Transfer the mushroom mixture to a 8-inch baking dish (or equivalent), spreading it across in a somewhat even layer. Dollop the potatoes across the top, and gently push them around until they cover the entire top of the casserole, run the tines of a fork across the top if you like a bit of texture."
shepherds-pie-recipe,"Bake for 25 minutes, and finish under a broiler to add a bit of extra color and texture to the top. Serve as-is, or sprinkled with any (or all) of the suggested toppings."
Recipe                  ,Instruction
beer-roasted-cauliflower,"Pre-heat the oven to 425F. In a medium-large saucepan combine the beer, garlic, olive oil, salt, chile flakes, water, and lemon juice. Bring to a boil, and lower the cauliflower into the pot. Cover, and simmer for ten minutes or so, flipping once or twice along the way. Use a strainer to drain and transfer the cauliflower to a cutting board, and (IMPORTANT) keep all that broth in the pot. "
beer-roasted-cauliflower,"Cut the cauliflower into four wedges, and place on a rimmed baking sheet or baking pan. Roast until deeply golden, flipping once along the way, twenty minutes or so. Check on the bottom now and then, to avoid burning. Remove from oven."
beer-roasted-cauliflower,"While the cauliflower is roasting, dial back the heat under the broth. When the cauliflower is nearly done, bring the broth back to a boil, add the pasta, and cook per package instructions. Serve the cauliflower in wedges in the brothy pasta with a showering of fresh herbs, and a dusting of Parmesan."
Recipe                 ,Instruction
panglazed-tempeh-recipe,"Put the orange juice in a small bowl. Squeeze the grated ginger over the bowl to extract the juices, then discard the pulp. Add the tamari, mirin, and maple syrup, ground coriander, and garlic. Mix together and set aside."
panglazed-tempeh-recipe,"Cut the tempeh (or tofu) into thin-ish, bite-sized pieces, and if working with tofu, pat dry with a paper towel."
panglazed-tempeh-recipe,"Put the coconut oil in a large frying pan over medium-high heat. When the oil is hot but not smoking, add the tempeh and fry for 5 minutes, or until golden underneath. Turn and cook the other side for another 5 minutes, or until golden. Pour the orange juice mixture into the pan and simmer for 10 minutes, or until the sauce has reduced to a lovely thick glaze. Turn the tempeh once more during this time and spoon the sauce over the tofu from time to time."
panglazed-tempeh-recipe,"Serve the tempeh drizzled with any remaining sauce and a squeeze of lime, with the coriander scattered on top. Heidi note: As I mention in the head notes, I served this over some leftover wheat berries heated with a few handfuls of chopped kale."
Recipe               ,Instruction
vegan-quinoa-burritos,"Combine the avocado, garlic, scallion, herbs, tahini, water, lemon juice, salt, and serrano in a blender or food processor and pulse until creamy. Transfer to a jar."
vegan-quinoa-burritos,"Place the kale in a large bowl, and add about 1/2 of the dressing to it. Massage with your hands until the kale is nicely coated and beginning to collapse a bit."
vegan-quinoa-burritos,"Place one tortilla on the counter and fill with about 1/2 cup of the quinoa, 1/2 cup of the mung beans, a couple generous dollops of the dressing, a handful of the kale mixture, and a sprinkling of pepitas and hemp seeds (if using). Fold and roll, and then repeat with the remaining burritos. Wrap each in parchment paper, and then foil if you're planning on eating later. You can freeze in multiples, wrapped in parchment, and then foil in large plastic bag."
Recipe               ,Instruction
weeknight-ponzu-pasta,"To make the dressing, in a small bowl, whisk together the ponzu, garlic, chile, and sesame oil. Taste, adjust, and set aside."
weeknight-ponzu-pasta,"When the pasta water is boiling, salt the water, add the pasta, and cook per package instructions. Use a strainer to transfer the cooked pasta into a large serving bowl. Use the same boiling pasta water to cook the green beans for about a minute, add the broccoli, and allow to cook another minute. Until both are just tender. Quickly drain and transfer to the bowl with the pasta. "
weeknight-ponzu-pasta,"Add the tofu, and the ponzu dressing, and toss well. Add the cilantro, and any other bonus ingredients, give one last toss, and serve immediately."
Recipe                ,Instruction
double-broccoli-quinoa,Heat the quinoa and set aside.
double-broccoli-quinoa,"Now barely cook the broccoli by pouring 3/4 cup water into a large pot and bringing it to a simmer. Add a big pinch of salt and stir in the broccoli. Cover and cook for a minute, just long enough to take the raw edge off. Transfer the broccoli to a strainer and run under cold water until it stops cooking. Set aside."
double-broccoli-quinoa,"To make the broccoli pesto, puree two cups of the cooked broccoli, the garlic, 1/2 cup of the almonds, Parmesan, salt, and lemon juice in a food processor. Drizzle in the olive oil and cream and pulse until smooth."
double-broccoli-quinoa,"Just before serving, toss the quinoa and remaining broccoli florets with about 1/2 of the broccoli pesto. Taste and adjust if needed, you might want to add more of the pesto a bit at a time, or you might want a bit more salt or an added squeeze of lemon juice. Turn out onto a serving platter and top with the remaining almonds, a drizzle of the chile oil, and some sliced avocado or any of the other optional toppings."
Recipe       ,Instruction
