be_matched_ingredient,matched_grocery,price_list,avg_mid_price
scant 1/4 teaspoon fine grain sea salt,"][smart chicken organic boneless & skinless chicken breast0.75-1.75lbs, 86][smart chicken organic boneless & skinless thin sliced chicken breast0.75-1.5lbs, 86][tyson trimmed & ready boneless & skinless thin sliced chicken breasts0.76-1.988 lbs, 86][perdue boneless & skinless antibiotic free chicken breast1.3-2.4 lbs, 86][perdue chicken breast tenderloins antibiotic free0.8-1.4 lbs, 86","[19.23, 16.49, 10.51, 11.98, 6.99]",12.99
half an 8x8-inch sheet nori seaweed,"][hickory smoked spiral-sliced, half bone-in uncured ham, 86][arnold palmer spiked half & half original flavored malt beverage, 86][arizona arnold palmer lite half iced tea & half lemonade, 86][arizona arnold palmer zero half iced tea & half lemonade, 86][maud's world's best half caff medium roast coffee pods, 86","[36.9, 8.99, 2.99, 2.99, 38.99]",16.29
sesame seeds,"][sesame seeds, 100][pepperidge farm italian with sesame seeds bread, 90][pepperidge farm bakery classics white with sesame seeds hoagie rolls, 90][organic sesame seeds , 90][badia sesame seeds, 90","[3.320270198768938, 0.280865623732341, 0.41620389826251275, 4.166496595639967, 1.3782253655267287]",1.7
scant 1/4 teaspoon cayenne,"][kevita lemon cayenne sparkling probiotic drink, 86][vive organic immunity boost cayenne wellness shot, 86][health-ade organic vegan cayenne cleanse kombucha, 86][bragg organic pineapple cayenne apple cider vinegar probiotic shot, 86][tyson trimmed & ready chicken tenderloins1.25-2.1 lbs, 86","[2.99, 3.49, 3.49, 2.99, 11.11]",3.32
ground turmeric,"][ground turmeric, 100][organic ground turmeric, 90][gt's synergy tantric turmeric organic kombucha, 86][sol-ti organic turmeric supershot, 86][bolthouse farms carrot ginger turmeric juice, 86","[1.258427466928313, 0.9942775966868105, 0.10603242768018666, 0.8732818232539268, 0.0885661327308499]",0.66
medium beets,"][salsa mexicana medium, 86][love beets organic cooked & peeled beets, 86][healthy ones medium rare roast beefdeli fresh sliced, 86][simply orange medium pulp with calcium & vitamin d juice, 86][vitacup slim diet & metabolism medium roast coffeesingle serve pods, 86","[4.99, 3.49, 9.99, 3.99, 17.99]",6.32
plump dates,"][plum, 90][desert valley medjool dates, 86][great grains selects cereal raisins, dates and pecans breakfast cereal16oz, 86][organic pitted deglet noor dates, 86][plums, 72","[0.99, 6.99, 3.59, 3.99, 1.99]",3.19
cognac (bourbon,"][maple bourbon bacon chopped salad kit, 86][maple bourbon mini sweet potatoes, 86][bourbon black pepper beef sirloin steak tips, 86][marine harvest sweet bourbon salmon portionfrozen, 86][marine harvest farmed atlantic salmon portion sweet bourbon bbq, 86","[0.3254687031517311, 0.3471666166951798, 1.1236231272563484, 0.7824300252209034, 0.7498015838021835]",0.63
garlic cloves,"][spice world minced garlic, 86][spice world organic garlic, 86][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86][spice world fresh whole garlic, 86","[8.19, 2.99, 3.99, 3.69, 1.59]",3.56
lemon juice,"][lemon, 90][concord foods reconstituted lemon juice, 90][realemon 100% lemon juice, 90][lawry's herb & garlic with lemon juice marinade, 90][ready pac lemon kale with protein salad kit, 86","[0.55, 0.21130028197166006, 0.13278554561798006, 0.1992510155969829, 0.7357905471929684]",0.32
chopped toasted walnuts,"][chopped kale, 86][maple bourbon bacon chopped salad kit, 86][taylor farms chopped kale juicing greens, 86][southern sweet potato chopped salad kit, 86][spicy hatch chile jalapeno chopped salad, 86","[0.7798131360341453, 1.3007752561773578, 0.962378084269564, 1.473444537970812, 1.6649923279070178]",1.25
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
creme fraiche,"][southern tier black water nitro creme brulee imperial milk stout, 86][new england hazelnut creme medium roast coffee pods, 86][natural bliss plant-based sweet creme coconutmilk coffee creamer, 86][natural bliss plant-based almond sweet creme almondmilk coffee creamer, 86][clif kid zbar protein cookies 'n creme snack bars, 86","[0.6642665731144437, 7.29, 5.59, 5.59, 0.9359995100526013]",4.04
lots of freshly chopped chives,"][hearts of romaine, 86][chopped kale, 86][organic chives, 86][ready pac kale cranberry pecan chopped salad kit, 86][ready pac foods mediterranean chopped salad kit, 86","[2.99, 2.99, 2.49, 5.89, 6.69]",3.96
eggs,"][grade a large eggs, 90][grade a extra large eggs, 90][hard cooked eggs, 90][cackle fresh grade a large eggs, 90][eggplant, 68","[1.69, 1.99, 1.49, 3.99, 1.49]",1.72
/ 170 g good-quality dark chocolate,"][dark sweet cherries, 86][good foods plant based spicy queso blanco style dip, 86][chocolate flavored mousse plant based dip + spread, 86][bolthouse farms protein+ dutch chocolate banana shake, 86][koia chocolate banana plant powered nutrition shake, 86","[1.3129596641916081, 3.0003351029118672, 3.223231450290128, 1.095522040091013, 1.915836813363315]",2.08
water,"][mini watermelon, 90][fresh garden highway watermelon spears, 90][watermelon spears, 90][crazy fresh watermelon spears, 90][crazy fresh watermelon chunks, 90","[3.99, 0.7808563643097761, 0.7808563643097761, 0.9373406056544206, 0.9998299793647153]",0.91
fine grain sugar,"][humm zero sugar peach tea kombucha, 86][humm zero sugar blood orange kombucha, 86][suja low sugar refreshers pack, 86][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86","[0.5441235012303706, 0.5441235012303706, 10.00896072497337, 0.9721825389826589, 0.38092017678351076]",0.69
unsalted butter,"][unsalted butter, 100][salted butter, 93][challenge unsalted butter, 90][tillamook unsalted butter spread, 90][land o lakes unsalted butter, 90","[0.7804723187357803, 0.7804723187357803, 1.172013615760419, 1.0937053563554915, 1.0414998500855397]",0.97
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
potatoes or sweet potatoes,"][sweet potatoes, 90][crunch pak sweet apple snackers with pretzels & cheese, 86][sweet corn, 86][russet potatoes, 86][red potatoes, 86","[1.495026367308066, 13.591818661983273, 4.19, 0.8970158203848394, 1.495026367308066]",2.39
full-fat coconut milk,"][kevita mojita lime mint coconut sparkling probiotic drink, 86][kevita strawberry acai coconut sparkling probiotic drink, 86][naked juice organic coconut water, 86][sol-ti coconut charcoal superade, 86][rebbl elixir organic vegan maca mocha coconut milk, 86","[0.9442584176979212, 0.9442584176979212, 0.7796845148528242, 1.2854343228332366, 1.5960809508512688]",1.06
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
coconut oil,"][simple mills chocolate organic frosting with coconut oil, 90][nonstick coconut oil cooking spray, 90][organic unrefined virgin coconut oil, 90][organic refined coconut oil, 90][carrington farms coconut oil, 90","[0.2866082294220357, 0.35395333251027356, 0.19726223440574664, 0.13386983393509083, 0.27375262350306007]",0.25
medium onion,"][salsa mexicana medium, 86][organic yellow onion, 86][organic green onion bunch, 86][french onion cashew plant based dip + spread, 86][healthy ones medium rare roast beefdeli fresh sliced, 86","[4.99, 3.49, 1.19, 4.29, 9.99]",4.26
garlic,"][spice world minced garlic, 90][spice world organic garlic, 90][garlic parsley mini creamer potatoes, 90][spice world premium minced squeeze garlic, 90][spice world fresh whole garlic, 90","[8.19, 2.99, 3.99, 3.69, 1.59]",3.56
mushrooms,"][sliced white mushrooms, 90][sliced baby bella mushrooms, 90][giorgio fresh whole white mushrooms, 90][giorgio baby bella mushrooms, 90][baby bella mushrooms, 90","[1.993544859697702, 2.3942573943103054, 1.8933667260445508, 2.3942573943103054, 2.3942573943103054]",2.26
crushed tomatoes,"][organic on-the-vine tomatoes, 86][cherry tomatoes on-the-vine, 86][hunt's 100% natural petite diced tomatoes, 86][hunt's 100% natural diced tomatoes, 86][hunt's 100% natural fire roasted diced garlic tomatoes, 86","[1.6639490996313868, 2.9836328683045554, 0.5698184788273952, 0.5698184788273952, 0.5698184788273952]",0.93
garam masala,"][organic garam masala, 90][swad garam masala powder, 90][rishi organic masala chai concentrate, 86][rishi organic masala chai tea, 86][tikka masala sauce, 86","[2.7421629082848398, 0.4907317589375475, 0.19544436409813226, 7.99, 0.2601574395785934]",1.16
cooked yellow or green split peas,"][organic green grapes, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][green bell peppers, 86][green bell pepper, 86][yellow bell pepper, 86","[4.1659582473529815, 12.988192031605495, 1.99, 0.79, 1.49]",2.55
peas (fresh or frozen),"][fresh garden highway fruit burst, 86][fresh garden highway watermelon spears, 86][fresh garden highway pineapple spears, 86][fresh garden highway mango spears, 86][fresh garden highway pineapple chunks, 86","[2.3446555494805903, 2.602854547699254, 2.602854547699254, 3.124468685514736, 2.4995749484117886]",2.57
ripe avocados,"][avocado, 90][avocados, 90][organic hass avocados, 86][smallvocados mini hass avocados, 86][early california sliced ripe olives, 86","[0.89, 2.99, 4.99, 2.29, 4.49]",3.26
fresh lemon juice,"][lemon, 90][ocean spray fresh cranberries, 86][fresh garden highway fruit burst, 86][fresh garden highway watermelon spears, 86][fresh garden highway pineapple spears, 86","[0.55, 0.32497927653045033, 0.439994532531438, 0.4884477680382371, 0.4884477680382371]",0.47
Scant 1/2 teaspoon fine-grain sea salt,"][tyson trimmed & ready boneless & skinless chicken breast1-2.11lbs, 86][smart chicken organic boneless & skinless chicken breast0.75-1.75lbs, 86][tyson all natural antibiotic free chicken drumsticks1.49-2.938 lbs, 86][tyson all natural antibiotic free chicken wings1.48-2.75 lbs, 86][smart chicken organic boneless & skinless thin sliced chicken breast0.75-1.5lbs, 86","[10.53, 19.23, 5.85, 10.97, 16.49]",12.66
coarsely chopped fresh cilantro,"][chopped kale, 86][cilantro bunch, 86][organic cilantro, 86][ready pac kale cranberry pecan chopped salad kit, 86][ready pac foods mediterranean chopped salad kit, 86","[0.7798131360341453, 1.39, 20.781107250568795, 2.587206123564789, 2.53788987780769]",2.17
clarified butter or extra-virgin coconut oil,"][extra large red grapes, 86][extra large green grapes, 86][butter lettuce blend, 86][butter lettuce head, 86][organic extra-firm tofu, 86","[0.15204853701123477, 0.16074945472289345, 0.5203148791571869, 3.19, 0.148412796396006]",0.28
black or brown mustard seeds,"][candyland candy dreams black seedless grapes, 86][vegan chipotle ranch with black beans salad kit, 86][morningstar farms spicy black bean veggie burgersfrozen, 86][honey mustard pretzel breaded chicken breast cutlets, 86][bourbon black pepper beef sirloin steak tips, 86","[0.16281592267941236, 0.1766138822285151, 0.24124439213167223, 0.3585865711917318, 0.5618115636281742]",0.26
small yellow onion,"][yellow onion, 90][red onion, 86][white onion, 86][french onion cashew plant based dip + spread, 86][small tail off peeled & deveined cooked shrimpfrozen, 86","[0.95, 0.99, 0.99, 4.29, 6.49]",2.09
garlic,"][spice world minced garlic, 90][spice world organic garlic, 90][garlic parsley mini creamer potatoes, 90][spice world premium minced squeeze garlic, 90][spice world fresh whole garlic, 90","[8.19, 2.99, 3.99, 3.69, 1.59]",3.56
Indian curry powder,"][curry powder, 90][vegan tangy thai-style curry with quinoa & chickpeas salad kit, 86][hodo plant-based organic vegan thai curry nuggets, 86][wunderbites indian tikka gluten free , 86][fever-tree premium indian tonic water, 86","[1.5023584582130587, 0.1790415644584603, 0.40394010476375247, 0.3908887281962645, 0.09231500000000001]",0.32
small serrano chile,"][spicy hatch chile jalapeno chopped salad, 86][small tail off peeled & deveined cooked shrimpfrozen, 86][small tail-off, peeled, deveined cooked shrimpfrozen71-90ct/lb, 86][barsmith hatch chile margarita mix, 86][miami cocktail small batch blood orange mimosa, 86","[3.99, 6.49, 11.99, 6.99, 12.99]",8.49
extra-virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[0.2959341716367685, 0.3371948709392001, 0.4139800915240466, 0.4907317589375474, 0.5999120834530914]",0.41
fresh rosemary leaves,"][rosemary, 90][fresh garden highway fruit burst, 86][fresh garden highway watermelon spears, 86][fresh garden highway pineapple spears, 86][fresh garden highway mango spears, 86","[4.061588387802255, 0.14666484417714598, 0.16281592267941236, 0.16281592267941236, 0.19544436409813226]",0.17
fresh thyme leaves,"][thyme leaves, 90][ocean spray fresh cranberries, 86][fresh garden highway fruit burst, 86][fresh garden highway watermelon spears, 86][fresh garden highway pineapple spears, 86","[11.809732094040461, 0.32497927653045033, 0.439994532531438, 0.4884477680382371, 0.4884477680382371]",0.47
fresh oregano leaves,"][oregano leaves, 95][fresh garden highway fruit burst, 86][fresh garden highway watermelon spears, 86][fresh garden highway pineapple spears, 86][fresh garden highway mango spears, 86","[0.8283273661499027, 0.14666484417714598, 0.16281592267941236, 0.16281592267941236, 0.19544436409813226]",0.17
sweet paprika,"][crunch pak sweet apple slices, 86][crunch pak sweet apple snackers with pretzels & cheese, 86][organic mini sweet peppers, 86][sweet kale chopped salad kit, 86][southern sweet potato chopped salad kit, 86","[3.79, 0.2956480249814116, 0.16053193178010192, 0.1735833083475899, 0.18433625665230785]",0.22
medium cloves of garlic,"][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86][tessemae's organic lemon garlic dressing, 86][cleveland kraut dijon garlic dressing, 86][lemon garlic chicken breast cutlets, 86","[3.99, 3.69, 4.99, 4.99, 7.99]",4.66
well-crumbled bay leaf,"][washed & trimmed green leaf lettuce, 86][greenhouse grown green leaf lettuce, 86][applegate well carved organic mediterranean style turkey & vegetable meatballsfrozen, 86][applegate well carved organic asian style pork & vegetable meatballsfrozen, 86][oyster bay sauvignon blanc white wine, 86","[2.99, 3.49, 6.59, 6.59, 12.99]",5.56
of red pepper flakes,"][extra large red seedless grapes, 86][extra large red seedless grape, 86][red onion, 86][red potatoes, 86][red cabbage, 86","[3.59, 2.39, 0.99, 2.99, 1.99]",2.46
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
fresh lemon juice,"][lemon, 90][ocean spray fresh cranberries, 86][fresh garden highway fruit burst, 86][fresh garden highway watermelon spears, 86][fresh garden highway pineapple spears, 86","[0.55, 0.32497927653045033, 0.439994532531438, 0.4884477680382371, 0.4884477680382371]",0.47
unsalted butter or coconut oil,"][salted butter, 90][unsalted butter, 90][butter lettuce blend, 86][organic girl true hearts butter, plus! lettuce, 86][butter lettuce head, 86","[0.29267711952591763, 0.29267711952591763, 0.7804723187357804, 1.758020423640629, 3.19]",0.94
bananas,"][bananas, 100][banana, 92][organic bananas, 90][green bananas, 90][99 bananas liqueur, 90","[1.49, 0.19, 1.19, 0.65, 0.99]",0.94
grapefruit,"][red grapefruit, 95][esse water essential oil enhanced grapefruit water, 90][sodastream pink grapefruit zero calorie flavor sodamix, 90][squirt zero sugar grapefruit soda, 90][polar ruby red grapefruit seltzer, 90","[0.99, 2.99, 5.99, 4.99, 0.99]",2.99
rolled oats,"][bob's red mill gluten free old fashioned rolled oats, 90][bob's red mill organic regular rolled oats, 90][quaker 100% whole grain old fashioned rolled oats canister, 90][kodiak cakes classic rolled oats oatmeal canister, 90][bob's red mill organic thick rolled oats, 90","[3.0723072717331874, 2.602854547699254, 2.6799375258430977, 5.5186775780877975, 2.602854547699254]",2.79
shredded coconut,"][let's do organic 100% organic shredded coconut unsweetened, 90][shredded iceberg lettuce, 86][shredded green leaf lettuce, 86][ready pac foods shredded iceberg lettuce, 86][kevita mojita lime mint coconut sparkling probiotic drink, 86","[1.8204333409760314, 0.9336893066897125, 2.030817709894942, 0.9336893066897125, 0.7868820147482677]",1.23
baking powder,"][double acting baking powder, 90][clabber girl gluten free double acting baking powder, 90][real ketones d-bhb keto lean weight loss for life powder sticksorange blast, 86][real ketones d-bhb exogenous keto caffeinated weight loss powder stickspeach, 86][nestle nesquik chocolate flavor powder, 86","[0.1730515855985441, 0.19238695829111888, 19.99, 14.99, 0.17492740533737597]",5.12
fine-grain salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
maple syrup (or coconut nectar),"][salad girl organic crisp apple maple vinaigrette & marinade, 86][kevita mojita lime mint coconut sparkling probiotic drink, 86][kevita strawberry acai coconut sparkling probiotic drink, 86][rebbl elixir organic vegan maca mocha coconut milk, 86][rebbl elixir organic turmeric golden coconut milk, 86","[1.5617127286195522, 0.4721292088489606, 0.4721292088489606, 0.7980404754256344, 0.8324961639535087]",0.7
full-fat coconut milk,"][kevita mojita lime mint coconut sparkling probiotic drink, 86][kevita strawberry acai coconut sparkling probiotic drink, 86][naked juice organic coconut water, 86][sol-ti coconut charcoal superade, 86][rebbl elixir organic vegan maca mocha coconut milk, 86","[0.9442584176979212, 0.9442584176979212, 0.7796845148528242, 1.2854343228332366, 1.5960809508512688]",1.06
water,"][mini watermelon, 90][fresh garden highway watermelon spears, 90][watermelon spears, 90][crazy fresh watermelon spears, 90][crazy fresh watermelon chunks, 90","[3.99, 0.7808563643097761, 0.7808563643097761, 0.9373406056544206, 0.9998299793647153]",0.91
large egg,"][grade a large eggs, 90][vital farms alfresco pasture-raised grade a large eggs, 90][eggland's best grade a large eggs, 90][grade a extra large eggs, 90][eggland's best grade a extra large eggs, 90","[1.69, 5.69, 2.79, 1.99, 4.39]",3.06
vanilla extract,"][pure vanilla extract, 95][rodelle pure vanilla extract, 90][mccormick pure vanilla extract, 90][simply organic madagascar vanilla extract, 90][bolthouse farms protein vanilla chai tea, 86","[1.0414998500855397, 1.3756065396385277, 2.242226494294432, 2.2495139229377656, 0.053109063109239484]",1.55
(blood) oranges,"][organic navel oranges, 86][health-ade organic vegan blood orange carrot ginger kombucha, 86][humm zero sugar blood orange kombucha, 86][bubly bounce blood orange grapefruit sparkling water, 86][sanpellegrino blood orange/aranciata rossa italian sparkling drinks, 86","[6.69, 3.49, 2.99, 3.69, 5.49]",4.22
cayenne powder,"][kevita lemon cayenne sparkling probiotic drink, 86][vive organic immunity boost cayenne wellness shot, 86][health-ade organic vegan cayenne cleanse kombucha, 86][bragg organic pineapple cayenne apple cider vinegar probiotic shot, 86][real ketones d-bhb keto lean weight loss for life powder sticksorange blast, 86","[0.19688679320835778, 1.7465636465078536, 0.2183204558134817, 1.4963396283835193, 19.99]",1.15
pitaya (dragonfruit) powder,"][svedka pure infusions dragonfruit melon flavored vodka, 86][real ketones d-bhb keto lean weight loss for life powder sticksorange blast, 86][real ketones d-bhb exogenous keto caffeinated weight loss powder stickspeach, 86][carnation breakfast essentials powder drink mix rich milk chocolate, 86][clabber girl gluten free double acting baking powder, 86","[0.197136, 19.99, 14.99, 0.20675037800560297, 0.12825797219407922]",5.13
hibiscus powder,"][pear hibiscus sparkling water with caffeine, 86][raspberry hibiscus sparkling water, 86][vitaminwater zero blueberry hibiscus, 86][flow organic blackberry & hibiscus alkaline spring water, 86][nixie strawberry hibiscus sparkling water, 86","[0.03117374225798998, 0.03117374225798998, 0.06455779667607825, 0.09416714528229386, 0.06245174452353177]",0.05
acerola cherry powder (natural vitamin C powder)*,"][premium cherry tomatoes, 86][cherry tomatoes on-the-vine, 86][kor potent-c (vitamin c) shot, 86][sol-ti immuni-c supershot, 86][all natural chicken wingsfrozen, 86","[0.3121889274943121, 0.37326936983015574, 2.1725332397148085, 1.7465636465078536, 0.1738008312903814]",0.81
rose hip powder,"][health-ade bubbly rose kombucha, 86][fentimans rose lemonade, 86][poppi raspberry rose prebiotic soda, 86][flow organic strawberry & rose alkaline spring water, 86][rose's sweetened lime juice, 86","[0.2183204558134817, 0.1611657923187917, 0.20768593504319746, 0.09416714528229386, 0.29109394108464226]",0.2
of runny,"][hearts of romaine, 86][coco real cream of coconut drink mix, 86][goya cream of coconut, 86][brown estate house of brown chardonnay wine, 86][journey & discovery red wine of portugal, 86","[8.318006784364217, 5.666559588821073, 4.156221450113759, 18.918535999999996, 7.552271999999999]",7.18
dried chickpeas,"][vegan tangy thai-style curry with quinoa & chickpeas salad kit, 86][bustelo supreme freeze dried medium roast coffee, 86][quick bites cheese, chocolate, dried cranberry & banana, 86][chickpeas garbanzo beans, 86][classico signature recipes sun-dried tomato pesto, 86","[5.48738200259173, 20.983227217411244, 13.120231397379143, 0.712270626608309, 6.3013457027460795]",8.3
dried turmeric powder,"][gt's synergy tantric turmeric organic kombucha, 86][sol-ti organic turmeric supershot, 86][bolthouse farms carrot ginger turmeric juice, 86][rebbl elixir organic turmeric golden coconut milk, 86][sol-ti chlorophyll aloe superade + turmeric supershots, 86","[0.15904864152028, 1.3099227348808904, 0.13284919909627485, 0.26037496252138487, 149.99]",0.58
water,"][mini watermelon, 90][fresh garden highway watermelon spears, 90][watermelon spears, 90][crazy fresh watermelon spears, 90][crazy fresh watermelon chunks, 90","[3.99, 0.7808563643097761, 0.7808563643097761, 0.9373406056544206, 0.9998299793647153]",0.91
salt to taste,"][butterball farm to family 93/7 ground turkey, 86][butterball farm to family ground turkey breast, 86][butterball farm to family organic 90/10 ground turkey, 86][butterball farm to family 93/7 turkey burger patties, 86][butterball farm to family all natural premium young turkeyfrozen16-24lbs, 86","[4.39, 4.99, 6.49, 4.69, 66.96]",5.39
chunk of artisan whole wheat bread,"][hearts of romaine, 86][organic whole carrots, 86][whole white mushrooms, 86][whole carrots, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86","[1.9968841308194736, 0.48461172154711724, 1.420025044533413, 0.298656060953456, 1.7144772016639247]",1.21
melted butter or olive oil (I like 1/2 and 1/2),"][butter lettuce blend, 86][butter lettuce head, 86][smart chicken organic boneless & skinless thin sliced chicken breast0.75-1.5lbs, 86][tyson trimmed & ready boneless & skinless thin sliced chicken breasts0.76-1.988 lbs, 86][tyson all natural boneless & skinless antibiotic free chicken thighs1.26-2.938 lbs, 86","[1.039750848045527, 3.19, 16.49, 10.51, 10.25]",7.98
whole grain mustard,"][giorgio fresh whole white mushrooms, 86][spice world fresh whole garlic, 86][genius juice whole coconut smoothie original, 86][genius juice whole coconut smoothie mocha, 86][genius juice whole coconut smoothie vanilla, 86","[0.1850032628441419, 1.59, 0.3745853551321285, 0.3745853551321285, 0.3745853551321285]",0.37
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
unsalted butter or olive oil,"][salted butter, 90][unsalted butter, 90][organic girl true hearts butter, plus! lettuce, 86][esse water essential oil enhanced lemon water, 86][esse water essential oil enhanced grapefruit water, 86","[0.19511807968394507, 0.19511807968394507, 1.172013615760419, 0.21376280405478845, 0.21376280405478845]",0.21
shallot,"][shallots, 93][boursin shallot & chive cheese, 90][rockstar xdurance marshmallow energy drink, 77][starbucks toasted marshmallow hot cocoa mix, 77][swiss miss marshmallow lovers hot cocoa mix, 77","[2.99, 4.99, 1.59, 6.99, 2.49]",3.49
medium onion,"][salsa mexicana medium, 86][organic yellow onion, 86][organic green onion bunch, 86][french onion cashew plant based dip + spread, 86][healthy ones medium rare roast beefdeli fresh sliced, 86","[4.99, 3.49, 1.19, 4.29, 9.99]",4.26
large potato,"][extra large red seedless grapes, 86][extra large green seedless grapes, 86][extra large red grapes, 86][extra large green grapes, 86][extra large red seedless grape, 86","[3.59, 3.79, 6.99, 7.39, 2.39]",4.79
garlic,"][spice world minced garlic, 90][spice world organic garlic, 90][garlic parsley mini creamer potatoes, 90][spice world premium minced squeeze garlic, 90][spice world fresh whole garlic, 90","[8.19, 2.99, 3.99, 3.69, 1.59]",3.56
 good-tasting vegetable broth,"][good foods plant based spicy queso blanco style dip, 86][suja organic vegan mighty dozen fruit and vegetable drink, 86][alvalle traditional gazpacho vegetable soup, 86][real good frozen stuffed chicken spinach & artichoke, 86][real good frozen stuffed chicken cordon bleu, 86","[14.580853865735433, 5.7087265552570905, 7.770808325020712, 17.49702463888252, 17.49702463888252]",13.28
large head of broccoli (12 ounces or 3/4 lb.),"][extra large red grapes, 86][extra large green grapes, 86][once upon a farm organic pear-y blueberry & spinach smart blend 12+ months, 86][broccoli florets, 86][broccoli & cauliflower, 86","[6.99, 7.39, 2.49, 2.79, 2.79]",4.19
whole grain mustard,"][giorgio fresh whole white mushrooms, 86][spice world fresh whole garlic, 86][genius juice whole coconut smoothie original, 86][genius juice whole coconut smoothie mocha, 86][genius juice whole coconut smoothie vanilla, 86","[0.1850032628441419, 1.59, 0.3745853551321285, 0.3745853551321285, 0.3745853551321285]",0.37
 ripe bananas,"][banana, 90][bananas, 90][99 bananas liqueur, 86][early california sliced ripe olives, 86][pearls organic sliced ripe olives to go, 86","[0.19, 1.49, 0.99, 4.49, 4.69]",2.32
vanilla extract,"][pure vanilla extract, 95][rodelle pure vanilla extract, 90][mccormick pure vanilla extract, 90][simply organic madagascar vanilla extract, 90][bolthouse farms protein vanilla chai tea, 86","[1.0414998500855397, 1.3756065396385277, 2.242226494294432, 2.2495139229377656, 0.053109063109239484]",1.55
coconut oil,"][simple mills chocolate organic frosting with coconut oil, 90][nonstick coconut oil cooking spray, 90][organic unrefined virgin coconut oil, 90][organic refined coconut oil, 90][carrington farms coconut oil, 90","[0.2866082294220357, 0.35395333251027356, 0.19726223440574664, 0.13386983393509083, 0.27375262350306007]",0.25
rolled oats,"][bob's red mill gluten free old fashioned rolled oats, 90][bob's red mill organic regular rolled oats, 90][quaker 100% whole grain old fashioned rolled oats canister, 90][kodiak cakes classic rolled oats oatmeal canister, 90][bob's red mill organic thick rolled oats, 90","[3.0723072717331874, 2.602854547699254, 2.6799375258430977, 5.5186775780877975, 2.602854547699254]",2.79
ground sunflower seeds,"][impossible plant-based burger ground, 86][beyond meat beyond beef plant-based ground, 86][gardein the ultimate beefless ground frozen gluten free, 86][morningstar farms incogmeato frozen original plant-based ground , 86][impossible savory original ground sausage roll, 86","[1.3541103017689904, 1.2190122400747807, 0.7657447839229904, 1.5418913913825636, 1.0354785798691335]",1.2
